DWO ID,Bureau stn_num,DWO name,latitude,longitude
4117,33047,Te Kowai,-21.1642,149.1192
4118,40908,Tewantin,-26.3911,153.0403
4119,41100,Texas,-28.8544,151.1681
4120,39089,Thangool,-24.4935,150.5709
4121,45025,Thargomindah Airport,-27.9867,143.815
4124,40555,Toolara,-25.9714,152.8608
4126,41529,Toowoomba,-27.5425,151.9134
4127,39314,Seventeen Seventy,-24.1542,151.8875
4128,32040,Townsville,-19.2483,146.7661
4130,37043,Urandangie,-21.6119,138.3136
4131,31108,Walkamin,-17.1347,145.4281
4132,41525,Warwick,-28.2061,152.1003
4133,27045,Weipa,-12.6778,141.9208
4134,200283,Willis Island,-16.2878,149.9652
4135,38024,Windorah,-25.4228,142.6564
4136,37039,Winton Airport,-22.3617,143.0836
4137,37051,Winton,-22.3908,143.0386
4138,33307,Woolshed,-19.4167,146.5364
4139,33294,Yeppoon,-23.1364,150.7506
4140,41175,Applethorpe,-28.6217,151.9533
4141,40983,Beaudesert,-27.9707,152.9898
4142,31213,Cape Flattery,-14.9672,145.3106
4143,29167,Century Mine,-18.7569,138.7056
4144,40265,Redlands,-27.5278,153.25
4145,200001,Middle Percy Island,-21.6628,150.2711
4146,33195,Williamson,-22.4703,150.1786
5001,23034,Adelaide Airport,-34.9524,138.5204
5002,23090,Adelaide,-34.9211,138.6216
5003,16065,Andamooka,-30.449,137.1692
5004,17099,Arkaroola,-30.311,139.3357
5005,22823,Cape Borda,-35.7549,136.5959
5006,26095,Cape Jaffa,-36.9655,139.7164
5008,22803,Cape Willoughby,-35.8426,138.1327
5009,18012,Ceduna,-32.1297,133.6976
5010,21131,Clare,-33.8226,138.5933
5011,18116,Cleve,-33.7081,136.5026
5012,16090,Coober Pedy,-29.0347,134.7222
5013,26091,Coonawarra,-37.2906,140.8254
5014,18191,Coles Point,-34.3749,135.3741
5015,23083,Edinburgh ,-34.7111,138.6222
5016,22046,Edithburgh,-35.1121,137.7395
5017,18069,Elliston,-33.6501,134.888
5018,24511,Eudunda,-34.1754,139.0847
5019,20028,Gluepot  ,-33.7622,140.1251
5020,19017,Hawker,-31.8846,138.435
5021,23894,Hindmarsh Island,-35.5194,138.8177
5022,22050,Kadina,-33.9703,137.6628
5023,25006,Karoonda,-35.09,139.8972
5024,25507,Keith,-36.098,140.3556
5025,18040,Kimba,-33.1414,136.4125
5026,22841,Kingscote,-35.7114,137.5231
5027,23887,Kuitpo  ,-35.1712,138.6783
5028,18044,Kyancutta,-33.1332,135.5552
5029,25562,Lameroo,-35.3778,140.5378
5030,17110,Leigh Creek,-30.5963,138.4219
5031,24024,Loxton ,-34.439,140.5978
5032,22008,Maitland,-34.3745,137.6733
5033,16085,Marla,-27.3002,133.6201
5034,17031,Marree,-29.6481,138.0637
5035,24518,Meningie,-35.6902,139.3375
5036,22031,Minlaton,-34.748,137.5276
5037,18195,Minnipa,-32.8427,135.1515
5038,17123,Moomba,-28.0997,140.1956
5039,23733,Mount Barker,-35.0639,138.8509
5040,23878,Mount Crawford ,-34.7253,138.9273
5041,26021,Mount Gambier,-37.7473,140.7739
5043,24521,Murray Bridge,-35.1234,139.2592
5044,26099,Naracoorte,-36.9813,140.727
5045,18115,Neptune Island,-35.3365,136.1174
5046,23885,Noarlunga,-35.1586,138.5057
5047,16032,Nonning,-32.5226,136.4926
5048,18106,Nullarbor,-31.4492,130.8976
5049,23373,Nuriootpa,-34.4761,139.0056
5050,17043,Oodnadatta,-27.5553,135.4456
5051,26100,Padthaway,-36.6539,140.5212
5052,23013,Parafield ,-34.7977,138.6281
5053,23875,Parawa,-35.5695,138.2864
5054,18201,Port Augusta,-32.5091,137.7144
5055,18192,Port Lincoln,-34.5993,135.8784
5056,21118,Port Pirie,-33.2341,138.001
5057,22015,Price,-34.2971,138.0014
5058,16097,Pukatja [ernabella],-26.2635,132.1771
5059,24048,Renmark ,-34.1983,140.6766
5060,26026,Robe,-37.1628,139.756
5061,23343,Rosedale,-34.5519,138.8342
5062,23122,Roseworthy,-34.5106,138.6763
5063,16096,Roxby Downs,-30.4829,136.8772
5064,21133,Snowtown ,-33.7676,138.2182
5065,22049,Stenhouse Bay,-35.2795,136.9392
5066,24580,Strathalbyn ,-35.2836,138.8934
5067,18079,Streaky Bay,-32.7963,134.2116
5068,16098,Tarcoola,-30.7051,134.5786
5069,23804,Victor Harbor,-35.5544,138.5997
5070,22018,Warooka,-34.9906,137.3995
5071,18120,Whyalla,-33.0539,137.5205
5072,16001,Woomera,-31.1558,136.8054
5073,18083,Wudinna,-33.043,135.4519
5074,19062,Yongala,-33.0287,138.7489
